Name,Brand,Description,Notes,Image URL,Scent
Oud Bleu Intense Eau de Parfum,Fragrance du Bois," Oud Bleue Intense does indeed have a strangelyblue vibe to it. Bracing and intense, its mixture of marine air, earth, truffles, and ozone is simply intoxicating. Opening with an earthy, fungal myrrh fused with oily sandalwood, the scent picks up spice in the form of nutmeg and cardamom but retains that cool tone. A bright mandarin note weaves it way through the resins and spices, keeping things as fresh as a Mediterranean breeze. The citrus, myrrh, and spices continue to dominate well into the heart, where they merge smoothly with a rich, balsamic amber. In what has become a signature of Fragrance du Bois, the pure oud oil in this composition is deployed as a unifying balm to knit all the other elements together rather than to stand out on its own. If you're wary of oud but love fresh, spicy, balsamic ambers, then give this one a try. It's superb."," Cardamom, nutmeg, mandarin, frankincense, labdanum, myrrh oil, amber, pure oud oil, sweet myrrh, styrax, benzoin, myrrh resin",https://static.luckyscent.com/images/products/75707.jpg?width=400&404=product.png, cardamom
Oud Rouge Intense Eau de Parfum,Fragrance du Bois," There is something incredibly sexy about Oud Rouge Intense. At first glance, the notes seem minimalistic. But put it on warm skin and it comes alive, the bright, spicy pepper and lemon mingling with the musky cedar and dry, aromatic sandalwood to create a scent that will leave people wondering if you're wearing perfume or if your skin just smells that amazing. Imagine making love in the middle of a forest, your skin, sweat, and hair mingling with the soil, wood dust, and ion-charged air, and that's what this smells like. The woods play off each other in a subtly exciting way: the musky, slight bitter cedar adding muscle, the sandalwood a lactic creaminess, and the pure oud oil a smoky, medicinal depth that feels as old as time itself. Lovers of aromatic, spicy woods  your ship has come in."," Pink pepper, lemon, cedar, patchouli, sandalwood, oud",https://static.luckyscent.com/images/products/75700.jpg?width=400&404=product.png, pink pepper
Verde di Persia Parfum Concentration,Farmacia SS. Annunziata dal 1561," Mouthwateringly sweet, vibrantly warm, Verde di Persia is a blast of summer air with enough zest and energy to heat up even the chilliest fall or winter day. Delectably juicy cassis and green apple combine with bracingly green davana and sweet, creamy osmanthus and pistachio flower for a naturally fruit-laden delight, while amber, musk and patchouli bring a dry and intense breeze reminiscent of the height of summertime, compellingly intense and evocative. It's a divine escape, one we're delighted to find works perfectly in every temperature, a scent that brings summertime vibes all year around. A true delight through and through, Verde di Persia is the kind of climate change we can get behind."," Orange, lemon, cassis, green apple, davana, pistachio flower, rose, apricot, osmanthus, patchouli, rosewood, amber woods, musk",https://static.luckyscent.com/images/products/44025.jpg?width=400&404=product.png, orange
20 Years Eau de Parfum,M. Micallef," Twenty years ago, Martine Micallef, Geoffrey Nejman and Jean Claude Astier introduced a brand that would set the high standard for how luxury niche fragrance should look, feel, present and smell. Now, as they celebrate their 20th anniversary, M. Micallef has released a new Les Exclusifs scent inspired by a renewed drive for travel and exploration, a modern gourmand that borrows expertly from M. Micallef's rich history of elegant florals and mouthwatering gourmands, while also incorporating the sophisticated and spicy exoticism that has shown up in their more recent work. The result is a fragrance that sums up the best of what this iconic brand has to offer, while also proving that the wondrous creativity of this team is as fresh as ever.20 Years opens with precious notes of white rose and transparent jasmine, fresh, lush and romantic, which reveal subtly sweet and herbaceous davana and rich, gorgeous orange blossom. Micallef's signature gourmand touch soon sweeps us away on a tide of delectable caramel, faceted with earthy-sweet patchouli and precious woods, buffered with impossibly creamy vanilla. As lusciously beautiful as the scent is the bottle, which adds a new element to the famous Les Exclusifs design with a subtly reptile-inspired outer cover that evokes change and transformation. Warm, sensual, elegant and complex, 20 Years is a celebration of all that M. Micallef has accomplished, and a sign that the next few decades are more promising still."," Bergamot, nutmeg, exotic fruit, white rose, davana, orange flower, jasmine, geranium, patchouli, caramel, vanilla, precious wood, white musk",https://static.luckyscent.com/images/products/24552.jpg?width=400&404=product.png, bergamot
Queen Of The Night Eau de Parfum,Grandiflora," With unique insight Bertrand Duchaufour has thrown a noose The Selenicereus Grandiflorus, or Queen of the Night, is a rare cactus with a dramatic feature- it blooms but once a year, for a single night, with a fragrance so uniquely beautiful that it has been the stuff of legend for centuries. With this inspiration, Bertrand Duchaufour and Grandiflora have delivered a fragrance that not only captures the devastating beauty of this remarkable plant, but also the poetically fluid nature of its transformation, a captivating mix of memory and desire. Impossible to unravel, the floral bouquet opens fresh, bright and lightly fruity, gaining lushness and vibrancy by the moment before dawn's light sees the florals slowly recede into a gentle base with delicate woodsy and powdery tones. As with the fleeting bloom it so perfectly represents, Queen of the Night is sensual, compelling and evocatively bittersweet- a tale of love without regret."," Citrus, berries, clove, orange blossom, jasmine sambac, ylang ylang, tuberose, gardenia, pittosporum, wisteria, mimosa, vanilla, musk",https://static.luckyscent.com/images/products/64203.jpg?width=400&404=product.png, citrus
Taklamakan Eau de Parfum,Stephane Humbert Lucas 777," Dark and sultry, dry and sweet, Taklamakan ripples like the sands of the desert for which it was named, engulfing you in an addictive cloud of smoky vanilla, luxurious caramel, richly spiced patchouli, and sumptuously balsamic resins under skies heavy with ambergris. Hot, dry desert winds blow from the east, bringing exotic luxuries from the ancient Spice Route, incense and opoponax, and setting ablaze a rich cadre of woods consisting of Chinese cedar, birch, cade, and guaiac. As they slowly envelop the dark vanilla at Taklamakan's heart, dusty myrrh and sweet myrrh cast their magic in a haunting spell that is made all the richer by opulent sandalwood, luxuriously creamy tonka, chewy labdanum, and a drop of dry rose. In its drydown, Taklamakan becomes a comforting dream of golden amber infused with creamy plushness, dry woods, velvety resins, and soft spiciness. Powerful, deep, and long-lasting, Taklamakan entranced us with its sweet desert song, and has become a new favorite from Stephane Humbert Lucas."," Bergamot, rose, patchouli coeur, black vanilla, tonka absolute, birch, cade, gaiac, cedar, myrrh, orris, tolu balsam, labdanum, ambreine, amber gris, benzoin, sandalwood, musk",https://static.luckyscent.com/images/products/65512.jpg?width=400&404=product.png, bergamot
Perdizione Eau de Parfum,Nobile 1942," Being lost isn't necessarily a bad thing. Sometimes it's liberating to completely let yourself go, to give in utterly to pleasure and let the tides of delight carry you where they will. That's exactly what Nobile 1942 had in mind when they created Perdizione, a lusciously rich tempest of sweet florals whipped up in a compellingly smooth, creamy layer of musks and woods that makes our heads spin and our mouths water. Bright and sensual neroli and sweet ylang blend with elegant jasmine, while a creamy vanilla sweeps in like a monsoon and envelops everything in a blissful haze where down is up and time and space lose meaning. We may not know where we're going once we're lost in Perdizione. But we're in no rush to find out."," Grapefruit, bergamot, lavender, ylang-ylang, rose, orange blossom, neroli petitgrain, cedar, vanilla, musk",https://static.luckyscent.com/images/products/52317.jpg?width=400&404=product.png, grapefruit
Sandalo Nobile Eau de Parfum,Nobile 1942," We've always loved Nobile 1942, but the venerable Italian house has been on a particular tear lately, releasing a series of inspired scents that pull off the impressive feat of being as wearable as they are strikingly original. So when we say that Sandalo Nobile is as comfortable and easy to wear as any sandalwood in recent memory, that's not faint praise- spicy yet smooth, robustly textured yet soft-spoken, Sandalo Nobile is a deliciously woodsy treat for the senses. Think of it as a just-stronger-than-skin scent that even the manliest of men could wear with confidence. Sandalo Nobile opens with a rich tapestry of spices, where fiery cumin and mouthwatering saffron open the palate to a buttery iris that seals in the near-gourmand elements just in time for the woods to emerge. And what a blend of woods it is- lightly green fig tree, peppery gurjum, fresh cedar, and the star of the show, a sandalwood both creamy and robust, velvety smooth, and humming with quiet power. Looking for an everyday sandalwood scent that doesn't believe that discretion is the opposite of personality? Nobile 1942 has just what you need."," Saffron, cumin seed, iris, fig wood, gurjum, sandalwood, benzoin, white musk, cedar",https://static.luckyscent.com/images/products/52316.jpg?width=400&404=product.png, saffron
Black V Parfum Extrait,Widian," Bold yet sophisticated, luscious yet playful, Black V is a snappy, vivacious, and utterly lovely floral-driven parfum extrait that recalls the verve, vigor and creativity of the 1920's. Black V opens with a blast of energy, combining spicy cinnamon with crisp, tart lemon peel and juicy peach. In the sumptuous heart of the fragrance, narcotic tuberose is given a natural vibrancy with lightly bitter orange blossom and a bright solar accord, leading into a rich but never heavy base of warm cedar, smooth vanilla, and a dollop of sweet caramel. All of Widian's wondrous fragrances combine the best of east and west; we're thrilled to report that Black V also includes a tantalizing, joyful mix of past and present."," Lemon, peach, cinnamon, tuberose, orange blossom, solar accord, cedar, caramel, vanilla",https://static.luckyscent.com/images/products/70904.jpg?width=400&404=product.png, lemon
La Danza delle Libellule Exceptional Edition Parfum Extrait,Nobile 1942," Since we added La Danza delle Libellule to our store last year, we've been overwhelmed with the response- it turns out a lot of people out there are just as swept away as we are by its gorgeous, whimsically feminine combination of sweet fruits, creamy vanilla and playful spices. In fact, just like many others, we've loved La Danza so much that we find ourselves wanting more. Which is why we're so pleased to announce the Exceptional Edition, a sumptuous Parfum Extrait that captures everything we love about the original Eau de Parfum in a gorgeously rich 35% concentration. Now, the red apple is juicier and sweeter, the cinnamon spicier, the vanilla warmer, creamier and butterier, all with a sillage and longevity that last for countless wondrous hours. When we reviewed the original La Danza, we called it the kind of fragrance that you'd wear just to treat yourself. With the Exceptional Edition, that treat just got all the more delightfully indulgent."," Bergamot, red apple, cedar, cinnamon, musk, vanilla, coconut",https://static.luckyscent.com/images/products/52314.jpg?width=400&404=product.png, bergamot
Salome Eau de Parfum,Papillon Artisan Perfumes," Close the blinds and send the kids to bed- Salome, the latest sensation from Papillon Artisan Perfumes, is Sexy with a grown-up, capital ""S""-- a swooningly vintage-feeling delight that proves that the golden era of full-bodied perfumery isn't nearly as bygone as the doubters might claim. Built around a strikingly animalic blend of rich, dirty florals and even dirtier animalics, Salome is put together with such deft, classic skill that we'd be praising its refinement- that is, if we weren't busy picking our jaws up off the floor. Just as the biblical Salome had a seven-veiled dance of progressive seduction, so too does Salome seduce in tantalizing layers. At first spray, we're struck with bright, bitter orange blossom and the sweet richness of rose and jasmine, with the indolic sensuality of the florals growing gradually. As the rich heart of animalics begins to growl, suggestiveness turns to an all-out bacchanal, with hyraceum, castoreum and an increasingly indolic jasmine all adding their own elements of dirty, carnal power. As Salome reaches the extended final drydown, smoky leather and deep oakmoss begin to move in slower, more deliberate momentum, still every bit as carnal but now even deeper and more luxuriously vintage-feeling. Vibrant, erotic, classic and devastatingly gorgeous, Salome is another big win from one of the most exciting new houses in niche fragrance."," Jasmine, carnation, bitter red orange, Turkish rose, orange blossom, tobacco, hyraceum, styrax, vanilla, hay, patchouli, bergamot, oakmoss, cumin, birch tar, castoreum",https://static.luckyscent.com/images/products/66503.jpg?width=400&404=product.png, jasmine
Black I Parfum Extrait,Widian," The original fragrance from Widian by AJ Arabia, Black I distinguishes itself from the flock of Euro/Oriental hybrids in a key way: while inspired by the grandeur of Sheikh Zayed Grand Mosque in Abu Dhabi and rich with perfectly blended spices, Black I is not an ode to opulence. Yes, it's gorgeous, compelling, and exotic, but where another brand might have opted for overindulgence and complication, Black I is a streamlined delight: a mouthwatering, captivatingly individual concoction of spice, incense and woods that's as comforting and casually easy to wear as the hippest of modern perfumery could hope to produce. Black I opens with a simple, but extremely compelling, blend of cardamom and cinnamon- spicy but not nose wrinkling, with a savory subtlety that positively enchants. A heart of delicate incense and smooth cypress adds sophistication and depth, while the drydown of musky sandal and cedar contributes longevity and a sexy modern backbone. AJ Arabia's philosophy shuns gender categories and style classifications, opting simply to say, ""Wear What You Like."" We can assure you that we like Black I very much."," Cardamom, cinnamon, incense, cypress, sandalwood, cedar, musk",https://static.luckyscent.com/images/products/70900.jpg?width=400&404=product.png, cardamom
Black III Parfum Extrait,Widian," Vital and invigorating, but also deep and soulful, Widian's Black III is this architecturally-minded line's meditation on the most complex and compelling structure of all: human memory. Featuring a gorgeously balanced collection of crisp, energetic top notes and then a deeper, warmer heart and base, Black III emphatically achieves its concept by leaving the wearer enveloped in a state of nostalgic bliss. Black III opens with a springlike burst of fresh citrus and a mouthwatering spearmint that feels more compellingly fruity than bracing or chilled. The effect is striking and emotional, opening you to the warmth of the leather and dry wood heart notes, which have the evocative comfort of a sunbeam through a dusty library window. In the drydown, softly creamy sandalwood and a hint of vanilla further the relaxingly atmospheric sensation, without ever fully relinquishing the spark of the opening notes. The cumulative effect is, as AJ Arabia describes it, rejuvenating. Everyone's happy memories are different, but we're pleased to say that Black III is designed for all of them."," Bergamot, spearmint, leather, dry wood, vanilla, moss, patchouli, sandalwood",https://static.luckyscent.com/images/products/70902.jpg?width=400&404=product.png, bergamot
Black IV Parfum Extrait,Widian," Soft, spicy, and deeply sensual, Widian's Black IV upends the normal conventions of spicy florals, using a deep, richly sweet fruit opening and a musky vanilla drydown to create a sexy, surprisingly unisex rose scent that has us captivated. Opening with a burst of juicy bergamot, Black IV quickly sweetens with an intoxicating confection of blackcurrant and prune notes, as deliciously dark as they are sugared. The floral heart of exotic, sensuous rose and white florals retains a carnally indolic element, while a smooth, animalic musk and vanilla drydown only further ups the seductive factor. At the same time, woodsy leather notes balance the femininity and add long lasting power. Make no mistake, Black IV is a floral- and an enticingly sexy one at that."," Bergamot, blackcurrant, prune, rose, white flowers, vanilla, musk, leather, sandalwood",https://static.luckyscent.com/images/products/70903.jpg?width=400&404=product.png, bergamot
L'Eau Scandaleuse Eau de Parfum,Anatole Lebreton," Because ""leather"" fragrances can span a wide variety of styles and notes, there's room for both creativity and disaster. Luckily, L'Eau Scandaleuse is a triumph: an exuberant, sensual leather shot through with bright fruits, narcotic florals and deeply sexy animalic notes to create one truly intoxicating leather scent. L'Eau Scandaleuse opens juicy and wild, with succulent peach and bergamot and sweet davana. The leather accord here is full-bodied and breathtakingly complex, neither screechy nor overly smoky but nuanced, natural and gently rugged, the lovingly aged leather of treasured heirlooms. Combined with a restrained dose of gorgeous, hypnotic tuberose, the results are achingly lovely. In the drydown, deep animalic notes join the harmony, stimulating the primal sensuality and balancing the florals. Leather scents this masterful are rare achievements for even experienced perfumers. With L'Eau Scandaleuse, Anatole Lebreton is staking his claim to that reputation right out of the gate."," Bergamot, peach, davana, tuberose, ylang ylang, leather, castoreum, cypriol, oakmoss",https://static.luckyscent.com/images/products/70801.jpg?width=400&404=product.png, bergamot
Alchemico Eau de Parfum,Mazzolari," The Mazzolari line has always embraced duality: a century of history but a newcomer to the niche fragrance scene, classic influences but modern compositions, Italian style and global influence. Alchemico, as the name appropriately suggests, is a fusion of all that Mazzolari was, is, and will be, a suitably dreamlike, yet contemporary, incense scent with classical leanings but thoroughly modern flourishes. Alchemico opens with an instantly compelling top note combining fresh, young rose with smooth cypress and a jolt of energized, crisp pepper, all blended seamlessly with compelling effect. In the heart, the main incense note hits a steady beat almost immediately, playing off the pepper to feel both languidly smokey and energetic all at once, while an earthy geranium note fleshes out the incense's rougher, deeper facets. In the drydown, this is accentuated even more with a spicy, grassy vetiver note, but just when it seems like Alchemico might go too far towards the earth, a soft, warm amber sends it back aloft, adding a lightly sweet undertone that floats the floral woodsiness to the surface yet again. As with any bout of alchemy, choosing the ingredients is only the beginning. It's the blend where the magic gets made."," Rose, cypress, pepper, incense, geranium, vetiver, amber",https://static.luckyscent.com/images/products/32824.jpg?width=400&404=product.png, rose
Fougere Nobile Eau de Parfum,Nobile 1942," Fresh, vibrant and masculine, the fougere style is meant to stimulate the spirit and empower the wearer. With its bright, effervescent timelessness and rich aromatic soul, Fougere Nobile is a sparkling evocation of ocean breezes and rugged, wild coastline, a classically nostalgic fougere that transcends reductive simplicity with an earthy, richly resinous base. Opening with a crisp sparkle of bergamot, Fougere Nobile instantly invigorates with a complex aromatic blend including basil, lavender, and spicy black pepper. Resinous elemi adds an unexpectedly smoky, cool incense vibe, which is reinforced with light, spicy tobacco and earthy vetiver and patchouli. For any gentleman with an eye towards tradition but both feet firmly planted in the modern, Fougere Nobile is a fragrance of great distinction."," Bergamot, basil absolute, lavender, black pepper, elemi, geranium, aldehydes, tobacco, vetiver, tonka bean, patchouli, sandalwood, white musk",https://static.luckyscent.com/images/products/52313.jpg?width=400&404=product.png, bergamot
Spirituelle Eau de Cologne,Divine," Gorgeously musky, lusciously floral, timelessly elegant. Spirituelle is modern and classic at once, a soft, full-bodied bouquet of roses with an invigorating peppery opening and a sexy, warm drydown that makes us weak in the knees. Spirituelle showcases the type of versatility we've grown to love from Divine- sophisticated and composed enough to wear with a ballgown, gorgeous and fresh enough to turn heads in a t-shirt and jeans. You've smelled rose and musk together before, but you've never smelled it like this."," Pink pepper, sichaun pepper, geranium, labdanum, rose, cedar, amber, musk, incense",https://static.luckyscent.com/images/products/22715.jpg?width=400&404=product.png, pink pepper
L'Homme Sage Eau de Parfum,Divine," An incredible blend of spice, fruit, wood and incense that leaves us weak in the knees. The sage in the name refers not to the herb, but to wisdom. However, if we met anyone, man or woman, who smelled this good, their IQ would be the last thing on our minds.   A spicy opening of saffron, lychee, mandarin and cardamom entices us down a mysterious path where we discover woods amber, patchouli, immortelle and incense, all layering so beautifully that we can't tell where one ends and another begins. All we can do is revel in the enveloping, woodsy, earthy warmth. Serene and hypnotic, this is a scent that seduces quietly, but oh-so effectively."," saffron, mandarin, cardamom, lychee, aromatic woods, immortelle (or everlasting flower), patchouli, oak moss, amber, incense",https://static.luckyscent.com/images/products/22713.jpg?width=400&404=product.png, saffron
L'Etre Aime - Homme Eau de Parfum,Divine," Yvon Mouchel, dedicated the 7th addition to the world of Divine to a perfume we will never forget, the fragrance of the one we love.  Linked to its feminine counterpart by the same name, l'Ãªtre aimÃ© homme (The Beloved Man) also shares with it the main note, the everlasting flower. Focusing on the aromatic aspect of the plant, l'Ãªtre aimÃ© homme is a woody, boldly spiced scent the masculinity of which is not aggressive but unmistakable. The lively blend of lavender and bergamot gets an extra zing from ginger and a hint of greenness from basil. The piquant accord in the heart of the fragrance mixes helicrysium with cardamom. Amber, exotic woods, patchouli and vetiver provide a rich, dark background for the composition and lend the base a luxurious, classic feel. Masculine perfumery at its finest!"," bergamot, lavender, ginger, basil, cardamom, everlasting flower, cistus, sandalwood, vetiver, patchouli",https://static.luckyscent.com/images/products/22714.jpg?width=400&404=product.png, bergamot
Augusto Eau de Parfum,Mazzolari," The legacy of the Mazzolari line dates back to the original Augusto Mazzolari, a late-1800's Milan barber renowned for the fresh, bright fragrances he would whip up on the spot for his customers. It continued through his grandson, also named Augusto, who took the family fragrance business and expanded it beyond the barbershop and out to the world. Now, Mazzolari honors both family and history with Augusto, a fresh, invigoratingly elegant scent appropriate for a gentleman of any era. Augusto opens with a tart, sparkling dose of bergamot and orange, made cool and refreshing with a spike of mint. A heart of rosewood maintains a sense of clean refinement, with geranium and lavender adding a smooth, masculine complexity. In the dry down, the depth and refinement of ambergris and sandalwood reinforce a sense of classic, understated sophistication. Equally perfect in any situation from the barbershop to the boardroom to the ballroom, Augusto is a testament to the storied history of one of our favorite houses."," Bergamot, sweet orange, mint, rosewood, geranium, lavender, vetiver, amber, sandalwood.",https://static.luckyscent.com/images/products/32820.jpg?width=400&404=product.png, bergamot
Le Rose Eau de Parfum,Mazzolari," Like the perfect cocktail, the perfect dress, or the perfect sunset, a perfect rose perfume need not be loud, or flashy, or bogged down by excess detail. Instead, it needs only to be pure, delicate, and true to the subtleties of the queen of all flowers. Le Rose is all of these things, a breathtakingly elegant, beautifully understated rose par excellence meant for the woman who never chases trends but instead is in complete control of her own personal style. Le Rose, as you might imagine, opens with a sole focus on rose, and this one is lusciously delicate: fresh, lightly green, natural, and rich without ever seeming overpowering. Indian sandalwood enhances the rose's woodsier and creamier aspects, while a base of sheer white musk projects a lighter-than-air sexiness that lingers for hours. Le Rose is too straightforward to have a whole bunch of tricks up its sleeve- but this beautifully simple floral proves that one perfect trick is often all you need."," Rose, Indian sandalwood, musk.",https://static.luckyscent.com/images/products/32821.jpg?width=400&404=product.png, rose
Pichola Eau de Parfum,Neela Vermeire Creations," Lake Pichola is the crown jewel and central focus of the princely city of Udaipur. A myriad of colourful historic, architectural and spiritual reflections reflect from the surface of this ancient yet manmade treasure - the sunlight and moonlight of each season bringing out the eternal and timeless beauty of the lake and the Rajasthan regionPichola, the latest fragrance from Neela Vermeire Creations, captures this beauty and era-spanning elegance in a symphony of fresh, vibrant orange blossom, tender tuberose, sweet ylang, and tart, crisp mandarin. A princely spice blend- redolent saffron, dry cinnamon, cardamom- dance atop the citrus and flower, while a resinous woody base, sandalwood and vetiver, add a touch of deeper contrast without ever weighing down the exuberance of this magical concoction.Like the reflections over the lake surface, constantly shifting but always reflecting the same colorful, diverse and impossibly rich city next to which it rests, Pichola is a fragrance of luxurious depth, gorgeous light, and immense character. Another triumph from Neela Vermeire."," Cardamom, cinnamon, saffron, juniper, magnolia, neroli oil, clementine, bergamot, orange blossom absolute, rose absolute, tuberose absolute, jasmine sambac, ylang-ylang, benzoin absolute, sandalwood, driftwood, vetiver from Haiti.",https://static.luckyscent.com/images/products/56506.jpg?width=400&404=product.png, cardamom
O/E Eau de Parfum,Bogue Profumo," Like any great architect, Antonio Gardoni is obsessed with structure and balance, and the concept that any fragrance, no matter how big and complex, can stand on the head of a pin if the engineering is sound. So it should come as no surprise that O/E, Bogue Profumo's followup to last year's sensational Maai and Cologne Reloaded, is, like its predecessors, a paradox- an elaborately structured, hugely complicated edifice of bright, shining citruses, naturally green spices and florals, warm natural wood notes and sheer synthetic ones, and an underpinning of smoky animalic notes- all of which somehow lock together to form something bright, surprisingly light, and cheerfully uncategorizable.  The combinations are exquisite- an ultra-fresh bergamot opening stands atop a spicy, fresh herb garden of rosemary and thyme. Balsamic camphor cools off a bough of juniper, pine and cypress. A lilt of lush florals offset a benzoin-tinged resinousness, and a transluscent layer of iso-E super wraps it all together and marks the composition as unmistakably 21st century. Each bold stroke is effortlessly complimented with the kind of artistic and architectural virtuosity that balances, but never overlaps, leaving the finished product as impressive in its scope as it is wonderfully enjoyable. Halfway between acoustic and electric, digital and analogue, artisanal and industrial, indoors and outdoors, O/E is another triumph from a truly contemporary talent."," Bergamot, grapefruit, lemon, neroli, clove, black pepper, rosemary, thyme, camphor, Lebanon cedar, juniper, pine, cypress, rose, jasmine, vetiver, benzoin, tobacco, resins, sandalwood",https://static.luckyscent.com/images/products/66903.jpg?width=400&404=product.png, bergamot
Black Muscs Eau de Parfum,Alexandre. J," While plenty of fragrances use ""Black"" in the title to convey intense woods, or fierce, challenging animalics, Black Muscs, with its subtly sensational blend of citrus, lightly floral muskiness, and resonant amber, is far more aligned to the elegant universality of the color- more like a finely tailored tuxedo than a horror movie monster. Opening with a fresh bergamot and lemon blend, transitioning with a lovely rose and patchouli heart, and ultimately settling into a deep, confident amber-and-musk drydown pitched at just the right volume, Black Muscs is a perfect scent for anyone that carries themselves with dignity, but never lets it lapse into self-seriousness. Luxury needn't be pompous, but as Black Muscs proves, it should always be luxurious."," Bergamot, lemon, violet, rose, patchouli, amber, and musk.",https://static.luckyscent.com/images/products/69002.jpg?width=400&404=product.png, bergamot
Rose Oud Eau de Parfum,Alexandre. J," One of perfumery's most classic combinations is made new again with this sparkling, spicy oriental stunner. Opening with a burst of deliciously candied fruits, Rose Oud quickly transitions into full seduction mode with a deep, luscious rose note set against a rich, musky oud and white woods accord accompanied with rare saffron and a sweet note of patchouli. A base of deep vanilla and ambery musks maintains a sensual complexity for untold hours. Deep, complex and utterly swoon-worthy."," Rose, agarwood, musk, amber, lemon, olibanum and sandalwood.",https://static.luckyscent.com/images/products/69005.jpg?width=400&404=product.png, rose
Vaniglia Eau de Parfum,Mazzolari," Mazzolari's Vaniglia presents all the charm and the enveloping warmth of a cozy vanilla scent.  Creamy caramel and the seductive fragrance of delicate exotic orchids produce a decadent marshmallow quality - the best marshmallow you've ever tasted. The exquisite floral notes of orchid are subtle, but they beautifully enhance the femininity of the fragrance, taking it to a softer, more refined place. Not too sugary or sweet, just a perfect taste of sweetness from Mazzolari."," Vanilla, caramel, orchid",https://static.luckyscent.com/images/products/32816.jpg?width=400&404=product.png, vanilla
Rudis Eau de Parfum,Nobile 1942," In ancient Rome, therudis was the wooden practice sword of a gladiator, worn into the arena as a symbol of his strength and valor. With Rudis, Nobile 1942 brings us a full portrait of one such ancient warrior, garbed in hardened leather armor, his sword adorned with flowers for courage and luck, fortified with wine and spirits for the battle that awaits. Rudis opens with an opulent blend of whiskey and leather, infused with tart fruits, smoky wood, buttery saffron, and the golden sweetness of immortelle. The leather feels as supple as expensive calfskin, but its luxuriousness has a sensual side from the musk and ambered warmth. A streak of red wine runs through the base, alongside roses redolent with patchouli and spice, balancing the raw masculinity of the opening notes and making Rudis feel both unisex and surprisingly modern. Sweet and spicy, golden and creamy, smoky and earthy, Rudis is an utterly intoxicating stitch in time connecting Europe's past, present, and future in an undeniably captivating fragrance."," bergamot, dried fruits, rose, geranium, clove, saffron, cedar wood, leathery notes, patchouli, vetiver, immortelle, musk and incense",https://static.luckyscent.com/images/products/52312.jpg?width=400&404=product.png, bergamot
Mohur Extrait Parfum Extrait,Neela Vermeire Creations," Mohur Extrait is based on the Mohur EDP fragrance but has a much higher concentration of perfume.  The perfume has been left to macerate far longer to transfer even more of the absolute to fragrance and allow the full range of notes to blossom. The complexity of the fragrance has increased considerably, intertwining wood, leather, spices, Oudh and the blooming rose in an intoxicating blend offering the ultimate olfactory experience to the perfume wearer.  To be used in moderation, like all finer things in life.Mohur Extrait is a numbered, limited-edition, one time offering."," Cardamom, coriander, ambrette, carrot seeds, pepper, elemi, iris, jasmine, rose, violet, almond, leather, sandalwood, amber, woody notes, patchouli, agarwood (oud), benzoin, vanilla, and tonka bean.",https://static.luckyscent.com/images/products/56505.jpg?width=400&404=product.png, cardamom
Maai Eau de Parfum,Bogue Profumo," Maai is a stunning accomplishment in modern perfumery as it marries the very best of old-school chypre glamour and bold animalics with a refined elegance and smoothness. It opens with a burst of incredibly mossy greenness, fused with roses, jasmine, and green tuberose, all sprinkled with a transparent veil of golden, glittering aldehydes. The plush bouquet is mesmerizing in its depth, and harkens back to a time before IFRA/EU regulations, but it's truly heart-stopping when combined with the animalic elements. Musky, leathered, and skanky, they cast a mighty roar that transforms the delicate swirl of feminine florals into something more unisex with a masculine touch that will appeal to fans of the legendary Kouros or Muscs Koublai Khan. As Maai unfolds, balsamic resins awaken in the base to add subtle streaks of smokiness and honeyed sweetness. At the same time, the amber slowly turns the whole fragrance deeper, richer, and softer, coating the musky leather in its warmth and taming its skanky cry. In its drydown, Maai transforms into golden velvet with a smooth, plush mix of amber, musk, and oakmoss.We found Maai to be one of the boldest, most sophisticated chypres we've encountered in a while. A symphonic masterpiece in the vein of Jubilation 25 and Kouros, it is not a fragrance for the faint of heart but for those who have mourned the loss of vintage glamour with an animalic edge. Black-tie galas seem like a perfect occasion for this incredibly opulent, concentrated scent, but so are moments when you want to seduce with naked sensuality. Maai's unconventional heart beats with such wildness and passion, it feel almost alive. Yet, at the end of the day, everything pales before that luxurious oakmoss which is piled on in such lavish layers that it took our breath away. Maai is the epitome of sophistication in the grandest tradition of haute perfumery, and we're sure its timeless beauty will impress even the most jaded connoisseur."," tuberose, rose, jasmine, ylang ylang, civet, castoreum, hyraceum, dried fruits, sandalwood, oakmoss.",https://static.luckyscent.com/images/products/66901.jpg?width=400&404=product.png, tuberose
